transaction_id,date,time,client_id,amount,merchant,merchant_city,merchant_state
16741748,01.10.2015,00:04,605,3.14 USD,merchant: 54001,Brooklyn,NY
16741749,01.10.2015,00:05,287,20.88 USD,merchant: 90222,Hitchcock,TX
16741750,01.10.2015,00:05,637,5.76 USD,merchant: 80773,Township Of Washington,NJ
16741751,01.10.2015,00:09,1129,80.00 USD,merchant: 27092,Vista,CA
16741753,01.10.2015,00:11,1797,44.87 USD,merchant: 54343,San Leandro,CA
16741755,01.10.2015,00:16,1902,44.93 USD,merchant: 59397,Cambridge,OH
16741756,01.10.2015,00:20,1585,32.96 USD,merchant: 25717,Jacksonville,FL
16741760,01.10.2015,00:27,584,51.42 USD,merchant: 86616,North Highlands,CA
16741762,01.10.2015,00:28,939,65.71 USD,merchant: 42636,Hallandale,FL
16741763,01.10.2015,00:29,316,85.05 USD,merchant: 65067,Houston,TX
16741764,01.10.2015,00:29,1053,237.94 USD,merchant: 23327,Oviedo,FL
16741765,01.10.2015,00:30,135,81.81 USD,merchant: 88065,Lancaster,OH
16741767,01.10.2015,00:31,1910,20.00 USD,merchant: 27092,Bradenton,FL
16741768,01.10.2015,00:32,1909,4.53 USD,merchant: 37074,Los Angeles,CA
16741769,01.10.2015,00:34,1357,15.38 USD,merchant: 80089,Rio de Janeiro,Brazil
16741770,01.10.2015,00:34,1809,17.31 USD,merchant: 86616,Grove City,PA
16741771,01.10.2015,00:36,114,87.00 USD,merchant: 59935,North Hollywood,CA
16741777,01.10.2015,00:44,1091,197.17 USD,merchant: 3093,Baltimore,MD
16741778,01.10.2015,00:44,1857,141.72 USD,merchant: 86616,Miami,FL
16741779,01.10.2015,00:45,652,2.62 USD,merchant: 20519,Austin,TX
16741780,01.10.2015,00:46,984,16.42 USD,merchant: 95348,Gainesville,FL
16741781,01.10.2015,00:47,121,63.53 USD,merchant: 93812,Menasha,WI
16741784,01.10.2015,00:52,1963,64.03 USD,merchant: 88646,Vacaville,CA
16741785,01.10.2015,00:55,114,-87.00 USD,merchant: 59935,North Hollywood,CA
16741786,01.10.2015,00:57,114,33.27 USD,merchant: 59935,North Hollywood,CA
16741787,01.10.2015,00:59,1552,127.00 USD,merchant: 48919,Meridian,ID
16741789,01.10.2015,01:02,1823,90.91 USD,merchant: 13523,Scottsdale,AZ
16741790,01.10.2015,01:03,1293,161.93 USD,merchant: 61195,Dickinson,TX
16741792,01.10.2015,01:04,1755,11.07 USD,merchant: 847,Cordele,GA
16741793,01.10.2015,01:06,986,2.43 USD,merchant: 14528,Garden City,NY
16741794,01.10.2015,01:08,939,93.10 USD,merchant: 88466,Orlando,FL
16741795,01.10.2015,01:08,986,1.96 USD,merchant: 14528,Garden City,NY
16741799,01.10.2015,01:14,1963,22.01 USD,merchant: 25759,Vacaville,CA
16741800,01.10.2015,01:15,44,15.65 USD,merchant: 66683,North Bend,OR
16741802,01.10.2015,01:15,566,15.07 USD,merchant: 82109,Holly,MI
16741803,01.10.2015,01:15,1988,108.00 USD,merchant: 42405,Miami,FL
16741806,01.10.2015,01:17,1972,18.25 USD,merchant: 72641,Cleveland,OH
16741809,01.10.2015,01:24,1348,1.83 USD,merchant: 32858,Brooklyn,NY
16741810,01.10.2015,01:28,148,76.51 USD,merchant: 99370,Gilford,NH
16741811,01.10.2015,01:28,152,30.87 USD,merchant: 69972,Gulf Shores,AL
16741812,01.10.2015,01:28,1376,42.79 USD,merchant: 88945,Cedar Park,TX
16741814,01.10.2015,01:31,63,52.27 USD,merchant: 72593,Newark,NJ
16741815,01.10.2015,01:31,1731,43.93 USD,merchant: 57274,Fontana,CA
16741816,01.10.2015,01:33,1443,79.77 USD,merchant: 60569,West Linn,OR
16741817,01.10.2015,01:38,1733,125.81 USD,merchant: 59474,Logan,UT
16741818,01.10.2015,01:39,1733,-450.00 USD,merchant: 59474,Logan,UT
16741819,01.10.2015,01:40,659,394.00 USD,merchant: 7777,White Plains,NY
16741820,01.10.2015,01:42,1731,55.37 USD,merchant: 57274,Fontana,CA
16741821,01.10.2015,01:42,1774,13.80 USD,merchant: 75608,Minneapolis,MN
16741822,01.10.2015,01:44,1931,60.00 USD,merchant: 27092,Springer,NM
16741824,01.10.2015,01:46,114,153.54 USD,merchant: 86616,North Hollywood,CA
16741826,01.10.2015,01:47,1300,9.07 USD,merchant: 73491,Fort Polk,LA
16741827,01.10.2015,01:48,1443,32.98 USD,merchant: 60569,West Linn,OR
16741828,01.10.2015,01:49,658,68.23 USD,merchant: 69956,Alachua,FL
16741829,01.10.2015,01:49,1203,191.00 USD,merchant: 49637,Baton Rouge,LA
16741830,01.10.2015,01:49,1484,40.00 USD,merchant: 27092,Pinetop,AZ
16741831,01.10.2015,01:50,1173,12.87 USD,merchant: 22204,Casper,WY
16741832,01.10.2015,01:50,1955,47.71 USD,merchant: 67570,East Flat Rock,NC
16741833,01.10.2015,01:52,503,19.91 USD,merchant: 11468,Chicago,IL
16741836,01.10.2015,01:55,1963,61.26 USD,merchant: 69972,Vacaville,CA
16741839,01.10.2015,01:59,1921,66.50 USD,merchant: 61042,Danielsville,GA
16741840,01.10.2015,02:09,1012,7.04 USD,merchant: 50783,Philadelphia,PA
16741844,01.10.2015,02:11,1453,1.99 USD,merchant: 59935,Parrish,AL
16741845,01.10.2015,02:12,98,61.11 USD,merchant: 69956,Danville,IL
16741846,01.10.2015,02:16,633,29.52 USD,merchant: 84661,Kodiak,AK
16741848,01.10.2015,02:17,34,4.58 USD,merchant: 75936,Sacramento,CA
16741849,01.10.2015,02:19,212,2.25 USD,merchant: 38853,Dallas,TX
16741850,01.10.2015,02:21,1787,3.99 USD,merchant: 96049,Lexington,KY
16741851,01.10.2015,02:26,474,236.64 USD,merchant: 14054,Williston Park,NY
16741853,01.10.2015,02:29,1484,40.00 USD,merchant: 27092,Pinetop,AZ
16741854,01.10.2015,02:30,1020,9.52 USD,merchant: 61550,Schaumburg,IL
16741855,01.10.2015,02:30,1733,-480.00 USD,merchant: 16790,Provo,UT
16741858,01.10.2015,02:32,1394,166.49 USD,merchant: 88627,Winfield,MO
16741861,01.10.2015,02:36,474,78.06 USD,merchant: 25857,Williston Park,NY
16741862,01.10.2015,02:37,1422,103.01 USD,merchant: 20561,Cary,NC
16741864,01.10.2015,02:41,677,37.01 USD,merchant: 51704,Saint Paul,MN
16741865,01.10.2015,02:43,169,11.05 USD,merchant: 2205,Sumter,SC
16741866,01.10.2015,02:44,50,42.93 USD,merchant: 50783,Escanaba,MI
16741867,01.10.2015,02:45,282,19.64 USD,merchant: 69265,San Antonio,TX
16741868,01.10.2015,02:46,671,1.54 USD,merchant: 14528,Blytheville,AR
16741870,01.10.2015,02:50,1041,50.12 USD,merchant: 43293,Trion,GA
16741871,01.10.2015,02:50,1443,71.53 USD,merchant: 30596,Waianae,HI
16741872,01.10.2015,02:50,1733,150.53 USD,merchant: 16790,Provo,UT
16741873,01.10.2015,02:53,1300,18.54 USD,merchant: 73491,Fort Polk,LA
16741875,01.10.2015,02:56,1041,68.00 USD,merchant: 43293,Trion,GA
16741878,01.10.2015,02:57,125,31.49 USD,merchant: 11468,Tracy,CA
16741879,01.10.2015,02:58,721,-494.00 USD,merchant: 74934,Oakland,CA
16741880,01.10.2015,02:58,1041,-68.00 USD,merchant: 43293,Trion,GA
16741881,01.10.2015,02:59,721,193.84 USD,merchant: 74934,Oakland,CA
16741883,01.10.2015,03:03,895,41.03 USD,merchant: 8021,Fontana,CA
16741884,01.10.2015,03:03,1250,138.94 USD,merchant: 43642,Everett,PA
16741885,01.10.2015,03:05,747,80.00 USD,merchant: 27092,Lima,OH
16741886,01.10.2015,03:06,169,9.53 USD,merchant: 2205,Sumter,SC
16741888,01.10.2015,03:06,1030,4.29 USD,merchant: 77572,Vancouver,WA
16741891,01.10.2015,03:08,843,25.91 USD,merchant: 60569,Rockton,IL
16741892,01.10.2015,03:09,57,63.23 USD,merchant: 13523,Tucson,AZ
16741894,01.10.2015,03:10,1709,24.30 USD,merchant: 19964,Lincoln,NE
16741895,01.10.2015,03:11,1909,2.35 USD,merchant: 61195,Los Angeles,CA
16741896,01.10.2015,03:12,947,33.36 USD,merchant: 65629,Brooklyn,NY
16741898,01.10.2015,03:18,1155,13.30 USD,merchant: 75195,Green Valley,AZ
16741899,01.10.2015,03:19,1403,33.29 USD,merchant: 38408,Beaverdam,VA
16741901,01.10.2015,03:22,1330,42.88 USD,merchant: 37972,Santa Barbara,CA
16741902,01.10.2015,03:31,1237,4.01 USD,merchant: 21553,Waukegan,IL
16741904,01.10.2015,03:35,1301,3.43 USD,merchant: 99242,Novato,CA
16741905,01.10.2015,03:37,227,-448.00 USD,merchant: 3558,Faber,VA
16741906,01.10.2015,03:41,601,246.00 USD,merchant: 23287,Flat Rock,NC
16741908,01.10.2015,03:46,227,339.72 USD,merchant: 3558,Faber,VA
16741909,01.10.2015,03:47,153,40.09 USD,merchant: 9759,Flagstaff,AZ
16741910,01.10.2015,03:49,758,7.92 USD,merchant: 12975,Alhambra,CA
16741911,01.10.2015,03:50,1686,155.42 USD,merchant: 2177,Louisville,CO
16741914,01.10.2015,04:05,709,37.69 USD,merchant: 4576,Fort Atkinson,WI
16741915,01.10.2015,04:05,1609,408.00 USD,merchant: 78644,Las Vegas,NV
16741916,01.10.2015,04:06,789,78.75 USD,merchant: 22938,Okarche,OK
16741917,01.10.2015,04:06,1718,21.69 USD,merchant: 23404,East Aurora,NY
16741919,01.10.2015,04:08,421,101.63 USD,merchant: 60569,Davenport,IA
16741920,01.10.2015,04:14,39,-58.00 USD,merchant: 61195,Old Saybrook,CT
16741923,01.10.2015,04:16,1996,40.72 USD,merchant: 14539,Alvin,TX
16741924,01.10.2015,04:22,1918,47.68 USD,merchant: 31893,Clarksville,TN
16741925,01.10.2015,04:23,1058,9.06 USD,merchant: 66044,Charlotte,TN
16741926,01.10.2015,04:23,1413,1.68 USD,merchant: 28965,Unionville,IN
16741927,01.10.2015,04:24,39,58.00 USD,merchant: 61195,Old Saybrook,CT
16741928,01.10.2015,04:25,1557,1.40 USD,merchant: 34490,Lake Oswego,OR
16741929,01.10.2015,04:27,39,65.46 USD,merchant: 61195,Old Saybrook,CT
16741930,01.10.2015,04:27,1774,25.29 USD,merchant: 2026,Minneapolis,MN
16741932,01.10.2015,04:29,1920,39.73 USD,merchant: 35001,Oak Park,MN
16741933,01.10.2015,04:34,33,13.05 USD,merchant: 56895,Carson City,NV
16741934,01.10.2015,04:35,994,14.80 USD,merchant: 2331,Lakewood,NJ
16741937,01.10.2015,04:39,1737,-83.00 USD,merchant: 68671,Eastpointe,MI
16741939,01.10.2015,04:41,464,93.35 USD,merchant: 32175,Orlando,FL
16741940,01.10.2015,04:41,1604,3.40 USD,merchant: 98374,Clarksdale,MS
16741941,01.10.2015,04:42,947,35.94 USD,merchant: 96759,Brooklyn,NY
16741943,01.10.2015,04:43,1675,141.02 USD,merchant: 9274,Philadelphia,PA
16741944,01.10.2015,04:43,1737,33.01 USD,merchant: 68671,Eastpointe,MI
16741945,01.10.2015,04:44,478,74.89 USD,merchant: 97204,Suwanee,GA
16741946,01.10.2015,04:45,543,9.77 USD,merchant: 20519,Yakima,WA
16741947,01.10.2015,04:45,1171,185.54 USD,merchant: 51624,Kailua,HI
16741948,01.10.2015,04:45,1737,83.00 USD,merchant: 68671,Eastpointe,MI
16741949,01.10.2015,04:46,27,29.47 USD,merchant: 48516,Brandon,MS
16741950,01.10.2015,04:48,1217,47.19 USD,merchant: 30286,Phoenix,AZ
16741951,01.10.2015,04:48,1563,0.60 USD,merchant: 14528,Los Angeles,CA
16741953,01.10.2015,04:52,1915,81.87 USD,merchant: 60569,Monroe,NY
16741957,01.10.2015,05:00,241,14.45 USD,merchant: 26810,Rockingham,NC
16741959,01.10.2015,05:01,33,9.62 USD,merchant: 60569,Los Angeles,CA
16741961,01.10.2015,05:05,343,45.14 USD,merchant: 13646,Manteca,CA
16741962,01.10.2015,05:05,1376,24.44 USD,merchant: 61552,Cedar Park,TX
16741963,01.10.2015,05:05,1379,95.61 USD,merchant: 20645,Clinton Township,MI
16741964,01.10.2015,05:06,190,149.10 USD,merchant: 3997,Spring Grove,IL
16741965,01.10.2015,05:06,1009,8.08 USD,merchant: 13501,Bakersville,NC
16741966,01.10.2015,05:09,227,135.48 USD,merchant: 71883,Ashland,VA
16741967,01.10.2015,05:10,994,5.78 USD,merchant: 2331,Lakewood,NJ
16741968,01.10.2015,05:10,1954,168.87 USD,merchant: 46284,La Mirada,CA
16741969,01.10.2015,05:14,227,-206.00 USD,merchant: 71883,Ashland,VA
