country;date;temperature_avg;temperature_min;temperature_max;precipitation;snow_depth
Finland;2019-12-28;-9.107407407;-15.28888889;-4.703947368;0.789265537;116.4210526
Finland;2015-04-08;4.025;1.336129032;6.196129032;0.116666667;486.5833333
Sweden;2018-10-20;5.077777778;1.241743119;9.210550459;0.885153584;0.0
Finland;2016-03-07;-0.775;-2.065584416;0.001315789;2.122613065;469.6315789
Sweden;2017-11-29;-1.355555556;-7.81146789;-3.817889908;2.728667791;103.3424658
Finland;2016-12-24;-1.275;-5.344736842;0.930263158;4.751041667;214.8181818
Norway;2019-12-29;2.657894737;0.575;6.792307692;19.75630252;195.8148148
Sweden;2018-08-06;16.4;10.81226415;20.11037736;0.687372014;0.0
Finland;2017-01-15;-7.242857143;-9.147297297;-3.048993289;0.355789474;333.7142857
Norway;2017-03-08;-4.378947368;-8.824369748;-0.501680672;4.57896679;251.7533632
Norway;2017-04-11;0.984210526;-1.023275862;5.114782609;4.658181818;133.7733333
Sweden;2017-12-23;2.288888889;-5.242922374;3.585321101;1.69544688;177.7272727
Sweden;2016-07-21;18.99;10.34363636;24.76531532;0.058469055;0.0
Finland;2019-07-12;12.58214286;5.868421053;17.17189542;0.395428571;0.0
Finland;2018-03-07;-14.075;-19.56078431;-7.954605263;0.064835165;477.5909091
Sweden;2016-08-21;15.22;11.34932735;18.73555556;1.057491857;0.0
Sweden;2018-12-12;-3.211111111;-8.462037037;-1.616666667;0.224829932;113.3613445
Finland;2018-05-22;16.15;7.125694444;22.67671233;0.088950276;0.0
Norway;2015-01-17;-1.336842105;-2.782727273;1.968181818;4.28057554;346.8663594
Finland;2017-01-22;-4.364285714;-9.575496689;-1.966447368;1.131382979;267.7777778
Finland;2017-06-26;11.41428571;8.975816993;14.71437908;4.246842105;0.0
Norway;2019-03-20;2.631578947;-0.839423077;6.267307692;8.083760684;345.8421053
Finland;2018-09-01;13.43928571;8.853642384;18.01699346;1.342777778;2.5
Sweden;2018-08-27;11.71428571;5.331308411;16.19150943;3.413798978;0.0
Norway;2017-06-06;11.34736842;7.307627119;15.83760684;4.354545455;9.772321429
Finland;2015-05-05;7.0;-0.195483871;10.95806452;0.070707071;368.625
Finland;2017-09-07;8.992857143;5.178145695;12.88116883;4.062702703;0.0
Finland;2017-08-11;16.29642857;11.92597403;20.53896104;0.324864865;0.0
Norway;2019-01-25;-5.284210526;-7.01372549;-2.858823529;3.838297872;326.7806122
Norway;2019-01-24;-6.184210526;-7.275490196;-3.370873786;1.050638298;326.2631579
Norway;2019-05-02;1.505263158;0.093069307;6.156862745;1.97375;23.63684211
Norway;2015-11-26;1.077777778;-2.47079646;3.669090909;14.68731884;50.09389671
Finland;2019-12-18;-1.403703704;-3.465359477;0.479220779;7.324858757;136.6666667
Finland;2019-09-19;3.442857143;-0.515789474;8.193421053;0.923863636;0.0
Norway;2015-01-13;-3.421052632;-7.065454545;0.609090909;6.410071942;327.0045455
Sweden;2017-04-11;3.211111111;0.04479638;6.313004484;1.580921053;108.48
Sweden;2018-02-22;-8.211111111;-15.58211009;-5.602752294;0.277571669;462.7123288
Norway;2019-05-25;6.805263158;5.035643564;11.33333333;2.117573222;9.344262295
Finland;2016-09-22;8.546428571;6.247368421;11.24569536;0.031770833;0.0
Finland;2016-11-21;3.307142857;0.8875;4.470198675;3.232474227;144.75
Norway;2017-03-18;-2.957894737;-3.851694915;2.545833333;0.848518519;241.0859729
Finland;2017-05-24;10.475;2.985526316;15.27467532;0.025531915;234.2
