orderId;orderDate;customerId;country;city;productId;category;subCategory;productPrice;productCount;shipDate;shipMode
CA-2017-140326;2017-09-04;HW-14935;United States;Chicago;FUR-BO-10000112;Furniture;Bookcases;130.98;9;2017-09-06;First Class
CA-2017-125472;2017-05-30;BD-11725;United States;Lafayette;FUR-BO-10000330;Furniture;Bookcases;120.98;2;2017-05-31;First Class
CA-2015-130785;2015-09-05;AG-10900;United States;San Diego;FUR-BO-10000330;Furniture;Bookcases;120.98;4;2015-09-09;Standard Class
CA-2014-105249;2014-11-28;DH-13675;United States;San Francisco;FUR-BO-10000330;Furniture;Bookcases;120.98;4;2014-11-28;Same Day
CA-2014-156349;2014-05-26;ML-17395;United States;Los Angeles;FUR-BO-10000362;Furniture;Bookcases;170.98;2;2014-05-30;Standard Class
CA-2016-165848;2016-06-04;EN-13780;United States;New York City;FUR-BO-10000362;Furniture;Bookcases;170.98;1;2016-06-04;Same Day
CA-2015-118423;2015-03-24;DP-13390;United States;Peoria;FUR-BO-10000362;Furniture;Bookcases;170.98;3;2015-03-27;First Class
CA-2014-133592;2014-12-31;KM-16375;United States;Providence;FUR-BO-10000362;Furniture;Bookcases;170.98;2;2015-01-07;Standard Class
US-2014-123183;2014-11-19;GR-14560;United States;Wilmington;FUR-BO-10000362;Furniture;Bookcases;170.98;6;2014-11-25;Standard Class
CA-2014-156790;2014-08-08;VG-21790;United States;Jacksonville;FUR-BO-10000468;Furniture;Bookcases;48.58;4;2014-08-10;Second Class
CA-2017-161200;2017-08-06;SV-20365;United States;Lafayette;FUR-BO-10000468;Furniture;Bookcases;48.58;3;2017-08-10;Second Class
CA-2015-168480;2015-09-21;DM-12955;United States;Lincoln Park;FUR-BO-10000468;Furniture;Bookcases;48.58;4;2015-09-27;Standard Class
CA-2017-126914;2017-06-15;JE-15715;United States;Monroe;FUR-BO-10000468;Furniture;Bookcases;48.58;2;2017-06-19;Standard Class
CA-2017-116946;2017-12-19;TS-21505;United States;Parker;FUR-BO-10000468;Furniture;Bookcases;48.58;7;2017-12-23;Standard Class
US-2016-166660;2016-01-30;TB-21250;United States;Seattle;FUR-BO-10000468;Furniture;Bookcases;48.58;1;2016-02-01;Second Class
CA-2014-140487;2014-06-14;SR-20425;United States;Detroit;FUR-BO-10000711;Furniture;Bookcases;70.98;3;2014-06-20;Standard Class
US-2014-156559;2014-08-19;LH-16900;United States;Jonesboro;FUR-BO-10000711;Furniture;Bookcases;70.98;9;2014-08-26;Standard Class
CA-2017-137449;2017-06-29;ME-17725;United States;Dallas;FUR-BO-10000780;Furniture;Bookcases;200.98;3;2017-06-30;First Class
US-2016-131611;2016-11-05;EP-13915;United States;Houston;FUR-BO-10000780;Furniture;Bookcases;200.98;7;2016-11-09;Standard Class
US-2016-110170;2016-09-27;HM-14860;United States;Huntsville;FUR-BO-10000780;Furniture;Bookcases;200.98;7;2016-10-03;Standard Class
CA-2017-168641;2017-11-24;KA-16525;United States;New York City;FUR-BO-10000780;Furniture;Bookcases;200.98;2;2017-12-01;Standard Class
