CA-2015-156153;2015-05-31;CW-11905;United States;Long Beach;OFF-FA-10003472;Office Supplies;Fasteners;1.26;6;2015-06-02;Second Class
CA-2015-142139;2015-08-31;SD-20485;United States;Bedford;OFF-PA-10003883;Office Supplies;Paper;6.55;4;2015-09-05;Standard Class
CA-2015-128139;2015-07-03;BD-11725;United States;Richmond;OFF-LA-10003930;Office Supplies;Labels;98.31;3;2015-07-09;Standard Class
CA-2014-122609;2014-11-12;DP-13000;United States;Carrollton;TEC-AC-10002567;Technology;Accessories;79.99;2;2014-11-18;Standard Class
CA-2017-122154;2017-04-09;SA-20830;United States;Jacksonville;OFF-BI-10002026;Office Supplies;Binders;58.1;1;2017-04-11;First Class
US-2017-106145;2017-09-26;RA-19885;United States;San Francisco;FUR-FU-10003829;Furniture;Furnishings;3.08;3;2017-09-26;Same Day
US-2015-134558;2015-12-19;PM-19135;United States;Dover;FUR-TA-10003473;Furniture;Tables;376.13;4;2015-12-24;Second Class
CA-2015-111514;2015-08-31;SC-20260;United States;San Francisco;TEC-MA-10000597;Technology;Machines;99.99;3;2015-09-02;First Class
CA-2015-110947;2015-06-09;AG-10765;United States;Hampton;OFF-BI-10001670;Office Supplies;Binders;37.7;3;2015-06-15;Standard Class
US-2017-130687;2017-09-07;PF-19225;United States;Edmonds;OFF-AR-10004260;Office Supplies;Art;25.98;1;2017-09-10;First Class
CA-2015-159863;2015-09-04;DS-13180;United States;Houston;TEC-AC-10000109;Technology;Accessories;55.99;3;2015-09-07;Second Class
US-2014-104759;2014-03-31;DD-13570;United States;Chicago;TEC-AC-10004901;Technology;Accessories;49.99;2;2014-04-04;Standard Class
CA-2015-146948;2015-07-16;MG-17890;United States;Baltimore;FUR-CH-10004853;Furniture;Chairs;150.98;1;2015-07-20;Standard Class
US-2014-143287;2014-11-11;KN-16705;United States;New Rochelle;OFF-PA-10004039;Office Supplies;Paper;55.98;4;2014-11-17;Standard Class
CA-2015-124044;2015-07-23;MS-17830;United States;Rochester;OFF-BI-10003460;Office Supplies;Binders;4.38;3;2015-07-26;Second Class
CA-2017-147760;2017-11-04;KL-16555;United States;Greensboro;FUR-TA-10004575;Furniture;Tables;290.98;3;2017-11-05;First Class
CA-2015-124653;2015-12-24;DB-13120;United States;Rochester;OFF-PA-10002365;Office Supplies;Paper;6.48;2;2015-12-26;First Class
CA-2014-154599;2014-04-12;KN-16450;United States;Redondo Beach;TEC-PH-10001557;Technology;Phones;95.99;14;2014-04-17;Standard Class
US-2015-126977;2015-09-17;PF-19120;United States;New York City;FUR-CH-10001973;Furniture;Chairs;110.98;2;2015-09-23;Standard Class
US-2017-141558;2017-03-11;MH-17290;United States;Philadelphia;OFF-ST-10004946;Office Supplies;Storage;54.1;1;2017-03-16;Standard Class
CA-2017-124716;2017-03-27;BD-11560;United States;Fresno;OFF-PA-10000740;Office Supplies;Paper;22.84;2;2017-03-31;Standard Class
CA-2016-145982;2016-08-27;TB-21055;United States;Quincy;TEC-PH-10000011;Technology;Phones;19.99;3;2016-09-01;Second Class
CA-2014-164210;2014-11-18;PW-19240;United States;Louisville;OFF-PA-10002259;Office Supplies;Paper;11.19;4;2014-11-20;Second Class
CA-2014-108189;2014-10-02;ES-14080;United States;Tempe;TEC-AC-10003038;Technology;Accessories;8.95;1;2014-10-05;First Class
CA-2015-135510;2015-09-05;TW-21025;United States;Charlottesville;FUR-FU-10000820;Furniture;Furnishings;16.99;4;2015-09-12;Standard Class
CA-2016-140501;2016-06-23;IM-15070;United States;New York City;OFF-ST-10000060;Office Supplies;Storage;64.98;5;2016-06-28;Standard Class
CA-2016-136126;2016-05-24;EH-14125;United States;Newport News;OFF-PA-10004327;Office Supplies;Paper;47.9;4;2016-05-24;Same Day
CA-2017-123043;2017-08-24;AH-10195;United States;New York City;OFF-BI-10003910;Office Supplies;Binders;7.71;4;2017-08-29;Standard Class
CA-2017-108539;2017-03-21;SC-20725;United States;Los Angeles;OFF-ST-10003208;Office Supplies;Storage;181.46;4;2017-03-23;Second Class
CA-2014-100762;2014-11-24;NG-18355;United States;Jackson;OFF-PA-10001815;Office Supplies;Paper;48.04;3;2014-11-29;Standard Class
CA-2017-151799;2017-12-14;BF-11170;United States;Lawrence;FUR-TA-10003473;Furniture;Tables;376.13;2;2017-12-18;Standard Class
CA-2017-168389;2017-12-11;DV-13045;United States;Jacksonville;OFF-AR-10001958;Office Supplies;Art;16.98;1;2017-12-17;Standard Class
US-2015-126977;2015-09-17;PF-19120;United States;New York City;OFF-LA-10002762;Office Supplies;Labels;12.53;7;2015-09-23;Standard Class
CA-2017-151358;2017-08-18;NF-18595;United States;Seattle;OFF-ST-10000046;Office Supplies;Storage;161.55;2;2017-08-22;Standard Class
CA-2016-162390;2016-12-06;DP-13105;United States;Hempstead;TEC-CO-10004202;Technology;Copiers;299.99;2;2016-12-12;Standard Class
CA-2015-130456;2015-08-21;DS-13180;United States;San Francisco;OFF-ST-10000736;Office Supplies;Storage;80.98;1;2015-08-26;Standard Class
CA-2015-153535;2015-05-20;SG-20470;United States;Wilson;FUR-FU-10001986;Furniture;Furnishings;50.98;4;2015-05-24;Standard Class
US-2015-126977;2015-09-17;PF-19120;United States;New York City;OFF-ST-10003058;Office Supplies;Storage;23.65;4;2015-09-23;Standard Class
CA-2016-163328;2016-11-04;TP-21565;United States;Eugene;OFF-PA-10000176;Office Supplies;Paper;18.97;1;2016-11-06;Second Class
US-2017-109316;2017-06-08;MG-17680;United States;Los Angeles;TEC-PH-10000307;Technology;Phones;10.95;2;2017-06-10;First Class
CA-2016-138520;2016-04-08;JL-15505;United States;New York City;OFF-AR-10002399;Office Supplies;Art;4.26;4;2016-04-13;Standard Class
CA-2017-128965;2017-04-17;PS-18760;United States;Los Angeles;FUR-CH-10003774;Furniture;Chairs;90.98;3;2017-04-22;Standard Class
CA-2014-110030;2014-12-06;LF-17185;United States;Houston;FUR-FU-10002759;Furniture;Furnishings;19.98;3;2014-12-08;Second Class
US-2016-153129;2016-12-26;FP-14320;United States;Seattle;OFF-PA-10003673;Office Supplies;Paper;6.78;5;2016-12-30;Standard Class
CA-2017-153843;2017-03-13;SC-20380;United States;Fairfield;OFF-BI-10002353;Office Supplies;Binders;15.44;2;2017-03-15;First Class
CA-2017-152926;2017-10-02;SC-20695;United States;Houston;OFF-AP-10001947;Office Supplies;Appliances;18.32;6;2017-10-04;Second Class
CA-2015-112823;2015-12-10;RA-19945;United States;Cleveland;TEC-AC-10002550;Technology;Accessories;15.93;2;2015-12-16;Standard Class
CA-2016-152457;2016-09-12;SC-20695;United States;Roseville;OFF-PA-10003790;Office Supplies;Paper;22.84;3;2016-09-18;Standard Class
CA-2014-101931;2014-10-28;TS-21370;United States;Los Angeles;FUR-BO-10001337;Furniture;Bookcases;120.98;6;2014-10-31;First Class
CA-2016-134208;2016-09-17;CS-12505;United States;Columbus;TEC-MA-10004458;Technology;Machines;99.0;4;2016-09-23;Standard Class
CA-2016-137204;2016-04-28;BO-11350;United States;Los Angeles;FUR-CH-10002304;Furniture;Chairs;25.98;2;2016-05-05;Standard Class
CA-2017-160031;2017-12-04;LT-16765;United States;Fairfield;OFF-PA-10000241;Office Supplies;Paper;30.98;3;2017-12-07;Second Class
CA-2016-136595;2016-09-05;EM-13825;United States;Houston;FUR-FU-10004671;Furniture;Furnishings;17.67;3;2016-09-07;First Class
CA-2015-155761;2015-12-11;SC-20800;United States;Houston;OFF-ST-10000943;Office Supplies;Storage;19.31;3;2015-12-11;Same Day
US-2016-119046;2016-06-02;EH-13765;United States;Seattle;OFF-PA-10000246;Office Supplies;Paper;10.06;3;2016-06-06;Standard Class
CA-2014-153087;2014-12-27;TC-20980;United States;Decatur;TEC-AC-10003198;Technology;Accessories;99.6;5;2015-01-03;Standard Class
CA-2014-157609;2014-03-16;KN-16705;United States;Raleigh;TEC-PH-10002415;Technology;Phones;294.95;2;2014-03-21;Second Class
CA-2015-120915;2015-09-28;JJ-15445;United States;New York City;TEC-PH-10003012;Technology;Phones;153.99;2;2015-10-03;Second Class
US-2017-142573;2017-07-18;ML-17410;United States;Phoenix;FUR-CH-10004218;Furniture;Chairs;100.98;2;2017-07-23;Standard Class
CA-2016-137743;2016-07-30;KH-16360;United States;Chicago;OFF-ST-10001780;Office Supplies;Storage;647.89;2;2016-08-04;Standard Class
CA-2015-111164;2015-04-11;SE-20110;United States;New York City;OFF-AP-10004487;Office Supplies;Appliances;81.32;5;2015-04-15;Standard Class
CA-2017-105914;2017-10-02;PV-18985;United States;Los Angeles;OFF-BI-10002854;Office Supplies;Binders;28.03;5;2017-10-08;Standard Class
CA-2014-150581;2014-04-08;NM-18445;United States;Concord;TEC-AC-10001908;Technology;Accessories;99.99;4;2014-04-12;Standard Class
CA-2017-167549;2017-07-25;EM-14200;United States;Dallas;FUR-TA-10004767;Furniture;Tables;70.98;6;2017-07-27;First Class
CA-2017-140186;2017-09-29;PG-18820;United States;Bakersfield;OFF-FA-10002280;Office Supplies;Fasteners;5.0;7;2017-10-02;First Class
CA-2014-149055;2014-11-23;PB-19210;United States;Philadelphia;OFF-EN-10003040;Office Supplies;Envelopes;26.17;3;2014-11-28;Standard Class
CA-2016-146682;2016-10-29;KW-16435;United States;Lansing;FUR-FU-10002671;Furniture;Furnishings;13.4;5;2016-10-31;First Class
CA-2016-125738;2016-10-15;PB-18805;United States;Salt Lake City;OFF-PA-10001509;Office Supplies;Paper;8.95;8;2016-10-21;Standard Class
CA-2016-118689;2016-10-02;TC-20980;United States;Lafayette;OFF-ST-10001558;Office Supplies;Storage;16.24;2;2016-10-09;Standard Class
CA-2015-149601;2015-05-28;TB-21625;United States;Manchester;OFF-ST-10001558;Office Supplies;Storage;16.24;1;2015-06-03;Standard Class
US-2014-113124;2014-03-30;NC-18340;United States;Apple Valley;OFF-ST-10001511;Office Supplies;Storage;64.65;2;2014-04-05;Standard Class
CA-2017-129378;2017-10-01;NS-18505;United States;San Jose;OFF-BI-10002012;Office Supplies;Binders;1.8;1;2017-10-02;First Class
CA-2016-126158;2016-07-25;SC-20095;United States;Costa Mesa;FUR-FU-10004864;Furniture;Furnishings;63.94;4;2016-07-31;Standard Class
CA-2017-119452;2017-03-21;CL-12565;United States;Tulsa;FUR-CH-10004495;Furniture;Chairs;300.98;6;2017-03-27;Standard Class
CA-2014-103940;2014-09-17;BN-11515;United States;Seattle;OFF-ST-10000943;Office Supplies;Storage;19.31;3;2014-09-21;Standard Class
CA-2017-123967;2017-11-01;SF-20200;United States;Bellingham;FUR-TA-10003954;Furniture;Tables;296.18;9;2017-11-03;Second Class
CA-2016-137043;2016-12-23;LC-17140;United States;Springfield;FUR-FU-10003664;Furniture;Furnishings;95.46;6;2016-12-25;Second Class
CA-2014-164315;2014-04-02;RD-19585;United States;Athens;OFF-AP-10003842;Office Supplies;Appliances;30.98;5;2014-04-08;Standard Class
CA-2015-160794;2015-08-06;MS-17980;United States;Houston;OFF-PA-10004156;Office Supplies;Paper;11.34;3;2015-08-08;First Class
CA-2014-159849;2014-09-19;JK-15640;United States;San Francisco;OFF-FA-10000053;Office Supplies;Fasteners;1.89;3;2014-09-19;Same Day
CA-2014-154963;2014-06-22;AA-10645;United States;Chester;FUR-CH-10000454;Furniture;Chairs;243.98;5;2014-06-27;Standard Class
CA-2016-141957;2016-07-21;JG-15310;United States;Newark;OFF-ST-10004340;Office Supplies;Storage;62.18;2;2016-07-21;Same Day
US-2015-129637;2015-12-17;MC-18100;United States;Bloomington;OFF-ST-10003716;Office Supplies;Storage;225.02;1;2015-12-22;Standard Class
CA-2017-117947;2017-08-18;NG-18355;United States;New York City;FUR-FU-10000010;Furniture;Furnishings;4.97;2;2017-08-23;Second Class
CA-2016-163776;2016-07-19;JS-16030;United States;Hattiesburg;OFF-ST-10002485;Office Supplies;Storage;21.98;4;2016-07-25;Standard Class
US-2014-150434;2014-07-19;CA-12310;United States;Bristol;TEC-PH-10000895;Technology;Phones;179.99;2;2014-07-24;Standard Class
CA-2016-163167;2016-11-28;RF-19345;United States;Marietta;OFF-ST-10003805;Office Supplies;Storage;210.55;6;2016-12-01;Second Class
CA-2017-164756;2017-09-18;SS-20140;United States;Columbus;OFF-PA-10003228;Office Supplies;Paper;48.91;5;2017-09-22;Standard Class
CA-2016-141551;2016-09-24;BP-11230;United States;Broken Arrow;OFF-BI-10001249;Office Supplies;Binders;6.38;1;2016-09-30;Standard Class
US-2016-152415;2016-09-17;PO-18865;United States;Marlborough;FUR-FU-10004864;Furniture;Furnishings;63.94;3;2016-09-22;Standard Class
CA-2015-119690;2015-06-25;MV-17485;United States;Houston;OFF-LA-10001613;Office Supplies;Labels;2.88;2;2015-06-28;First Class
CA-2014-119151;2014-11-25;MP-18175;United States;New York City;FUR-BO-10003159;Furniture;Bookcases;114.98;3;2014-11-29;Second Class
CA-2016-159142;2016-04-04;ME-17320;United States;Springfield;OFF-PA-10001776;Office Supplies;Paper;9.27;3;2016-04-05;First Class
CA-2015-154956;2015-07-04;IM-15070;United States;Milwaukee;TEC-PH-10004165;Technology;Phones;274.99;4;2015-07-09;Standard Class
CA-2014-103744;2014-02-23;MG-17875;United States;El Paso;OFF-BI-10000320;Office Supplies;Binders;7.38;3;2014-02-27;Standard Class
CA-2017-169901;2017-06-15;CC-12550;United States;San Francisco;TEC-PH-10002293;Technology;Phones;19.99;3;2017-06-19;Standard Class
US-2015-127040;2015-12-06;SG-20605;United States;New York City;FUR-FU-10002878;Furniture;Furnishings;28.48;4;2015-12-10;Standard Class
CA-2015-156734;2015-06-18;BV-11245;United States;Smyrna;OFF-PA-10001937;Office Supplies;Paper;6.48;4;2015-06-20;First Class
CA-2016-113292;2016-03-18;DB-13060;United States;Columbia;OFF-AP-10003590;Office Supplies;Appliances;363.25;3;2016-03-20;Second Class
CA-2017-107958;2017-07-02;AH-10120;United States;Houston;OFF-BI-10001787;Office Supplies;Binders;6.54;4;2017-07-05;First Class
CA-2017-161200;2017-08-06;SV-20365;United States;Lafayette;FUR-BO-10000468;Furniture;Bookcases;48.58;3;2017-08-10;Second Class
CA-2016-158435;2016-05-17;AG-10900;United States;Waterbury;OFF-LA-10002475;Office Supplies;Labels;7.31;2;2016-05-18;First Class
US-2014-140452;2014-12-06;BK-11260;United States;Chicago;OFF-BI-10004965;Office Supplies;Binders;11.5;2;2014-12-10;Standard Class
CA-2017-115070;2017-04-10;MG-18205;United States;Jacksonville;FUR-FU-10003829;Furniture;Furnishings;3.08;5;2017-04-14;Second Class
CA-2014-150798;2014-12-01;JK-15730;United States;Columbus;FUR-CH-10000015;Furniture;Chairs;216.6;6;2014-12-03;Second Class
CA-2017-162033;2017-03-26;EM-14200;United States;Virginia Beach;TEC-AC-10003116;Technology;Accessories;17.75;3;2017-04-02;Standard Class
CA-2014-145254;2014-07-23;NC-18535;United States;San Francisco;TEC-PH-10004531;Technology;Phones;125.99;3;2014-07-27;Standard Class
US-2017-165953;2016-12-31;EP-13915;United States;Jacksonville;OFF-PA-10002250;Office Supplies;Paper;5.87;5;2017-01-06;Standard Class
CA-2017-133235;2017-08-01;LH-16750;United States;Charlotte;TEC-PH-10002660;Technology;Phones;67.99;5;2017-08-04;First Class
CA-2017-166849;2017-04-20;SJ-20125;United States;Chicago;FUR-FU-10004597;Furniture;Furnishings;55.5;2;2017-04-26;Standard Class
CA-2017-110198;2017-05-01;AG-10900;United States;Coral Springs;FUR-BO-10001798;Furniture;Bookcases;130.98;3;2017-05-02;First Class
CA-2017-155698;2017-03-08;VB-21745;United States;Columbus;OFF-AP-10001124;Office Supplies;Appliances;80.98;8;2017-03-11;First Class
CA-2016-169824;2016-12-12;NS-18640;United States;New York City;OFF-AR-10000462;Office Supplies;Art;1.6;7;2016-12-17;Standard Class
CA-2015-140718;2015-07-02;FA-14230;United States;Raleigh;OFF-BI-10004728;Office Supplies;Binders;4.82;2;2015-07-04;First Class
CA-2017-128363;2017-08-13;DC-12850;United States;Memphis;OFF-EN-10003845;Office Supplies;Envelopes;3.69;5;2017-08-18;Standard Class
CA-2017-131212;2017-12-05;AB-10165;United States;Bellevue;OFF-BI-10001617;Office Supplies;Binders;10.34;3;2017-12-09;Standard Class
CA-2015-120397;2015-07-02;RB-19435;United States;Houston;OFF-AP-10001293;Office Supplies;Appliances;40.98;4;2015-07-02;Same Day
CA-2015-157343;2015-06-07;HD-14785;United States;Philadelphia;OFF-PA-10000552;Office Supplies;Paper;6.48;5;2015-06-11;Standard Class
CA-2017-120222;2017-04-25;LL-16840;United States;Los Angeles;OFF-BI-10000666;Office Supplies;Binders;30.56;3;2017-05-02;Standard Class
US-2017-141509;2017-09-29;SC-20575;United States;Los Angeles;OFF-AR-10002067;Office Supplies;Art;19.84;5;2017-10-01;First Class
US-2016-131912;2016-10-29;LH-17155;United States;Los Angeles;OFF-BI-10004236;Office Supplies;Binders;14.68;1;2016-11-01;Second Class
CA-2017-141117;2017-10-02;JK-16090;United States;Springfield;OFF-SU-10004664;Office Supplies;Supplies;8.14;6;2017-10-08;Standard Class
CA-2016-133340;2016-12-09;LH-17155;United States;Jackson;OFF-AP-10002311;Office Supplies;Appliances;68.81;1;2016-12-13;Standard Class
CA-2015-113173;2015-11-15;DK-13225;United States;Chicago;OFF-ST-10000604;Office Supplies;Storage;34.76;9;2015-11-17;Second Class
CA-2015-127754;2015-07-26;CK-12760;United States;Glendale;FUR-CH-10003199;Furniture;Chairs;110.98;3;2015-07-31;Standard Class
